LD,Velocity (km/s),a (degrees),$ (degrees),DI
2,0.5,75,0,0.13428
2,0.5,60,75,0.0234
2,0.5,60,0,0.13661
2,0.5,45,75,0.01652
2,0.5,45,0,0.14369
2,0.5,30,75,0.01457
2,0.5,30,0,0.14872
2,0.5,15,75,0.01475
2,0.5,15,0,0.15632
2,0.5,0,75,0.01698
2,0.5,0,0,0.17152
2,0.5,-15,75,0.0154
2,0.5,-15,0,0.15415
2,0.5,-30,75,0.00811
2,0.5,-30,0,0.14721
2,0.5,-45,75,0.00872
2,0.5,-45,0,0.14292
2,0.5,-60,75,0.01336
2,0.5,-60,0,0.13926
2,0.5,-75,75,0.01416
2,0.5,-75,0,0.13567
2,0.5,-90,75,0.02046
2,0.5,-90,0,0.1289
2,1,90,75,0.15229
2,1,90,0,0.39596
2,1,75,75,0.15534
2,1,75,0,0.38717
2,1,60,75,0.11976
2,1,60,0,0.392
2,1,45,75,0.12721
2,1,45,0,0.39691
2,1,30,75,0.10956
2,1,30,0,0.42518
2,1,15,75,0.09847
2,1,15,0,0.47327
2,1,0,75,0.08133
2,1,0,0,0.46091
2,1,-15,75,0.08119
2,1,-15,0,0.46618
2,1,-30,75,0.07208
2,1,-30,0,0.43205
2,1,-45,75,0.07892
2,1,-45,0,0.40221
2,1,-60,75,0.08852
2,1,-60,0,0.3908
2,1,-75,75,0.11998
2,1,-75,0,0.38925
2,1,-90,75,0.15229
2,1,-90,0,0.39596
2,1.25,90,75,0.21055
2,1.25,90,0,0.50058
2,1.25,75,75,0.22384
2,1.25,75,0,0.51688
2,1.25,60,75,0.20085
2,1.25,60,0,0.51237
2,1.25,45,75,0.17308
2,1.25,45,0,0.52857
2,1.25,30,75,0.15094
2,1.25,30,0,0.55258
2,1.25,15,75,0.11669
2,1.25,15,0,0.59974
2,1.25,0,75,0.10688
2,1.25,0,0,0.60334
2,1.25,-15,75,0.0931
2,1.25,-15,0,0.59479
2,1.25,-30,75,0.09409
2,1.25,-30,0,0.5535
2,1.25,-45,75,0.10232
2,1.25,-45,0,0.53082
2,1.25,-60,75,0.1325
2,1.25,-60,0,0.51005
2,1.25,-75,75,0.1843
2,1.25,-75,0,0.52097
2,1.25,-90,75,0.21055
2,1.25,-90,0,0.50058
2,1.5,90,75,0.2365
2,1.5,90,0,0.62946
2,1.5,75,75,0.25749
2,1.5,75,0,0.62541
2,1.5,60,75,0.24031
2,1.5,60,0,0.62842
2,1.5,45,75,0.22936
2,1.5,45,0,0.64912
2,1.5,30,75,0.19113
2,1.5,30,0,0.68517
2,1.5,15,75,0.17207
2,1.5,15,0,0.7218
2,1.5,0,75,0.142
2,1.5,0,0,0.70593
2,1.5,-15,75,0.11752
2,1.5,-15,0,0.70898
2,1.5,-30,75,0.11485
2,1.5,-30,0,0.69309
2,1.5,-45,75,0.14185
2,1.5,-45,0,0.65153
2,1.5,-60,75,0.17796
2,1.5,-60,0,0.62572
2,1.5,-75,75,0.23493
2,1.5,-75,0,0.62968
2,1.5,-90,75,0.2365
2,1.5,-90,0,0.62946
2,1.81,90,75,0.26807
2,1.81,90,0,0.78483
2,1.81,75,75,0.28497
2,1.81,75,0,0.77291
2,1.81,60,75,0.29538
2,1.81,60,0,0.78605
2,1.81,45,75,0.26517
2,1.81,45,0,0.8153
2,1.81,30,75,0.22261
2,1.81,30,0,0.83304
2,1.81,15,75,0.20369
2,1.81,15,0,0.85536
2,1.81,0,75,0.18701
2,1.81,0,0,0.85498
2,1.81,-15,75,0.16049
2,1.81,-15,0,0.85261
2,1.81,-30,75,0.1351
2,1.81,-30,0,0.83628
2,1.81,-45,75,0.1859
2,1.81,-45,0,0.80996
2,1.81,-60,75,0.23859
2,1.81,-60,0,0.78396
2,1.81,-75,75,0.27418
2,1.81,-75,0,0.76857
2,1.81,-90,75,0.26807
2,1.81,-90,0,0.78483
2,2.15,90,75,0.31657
2,2.15,90,0,0.93314
2,2.15,75,75,0.30702
2,2.15,75,0,0.96814
2,2.15,60,75,0.33566
2,2.15,60,0,0.97414
2,2.15,45,75,0.31111
2,2.15,45,0,0.99862
2,2.15,30,75,0.26224
2,2.15,30,0,1.03259
2,2.15,15,75,0.23932
2,2.15,15,0,1.02329
2,2.15,0,75,0.2123
2,2.15,0,0,1.0276
2,2.15,-15,75,0.18789
2,2.15,-15,0,1.02446
2,2.15,-30,75,0.16817
2,2.15,-30,0,1.022
2,2.15,-45,75,0.21989
2,2.15,-45,0,0.99808
2,2.15,-60,75,0.28603
2,2.15,-60,0,0.97253
2,2.15,-75,75,0.3102
2,2.15,-75,0,0.9703
2,2.15,-90,75,0.31657
4,0.25,90,75,0
4,0.25,90,0,0.01896
4,0.25,75,75,0.00003
4,0.25,75,0,0.01928
4,0.25,60,75,0.00003
4,0.25,60,0,0.01989
4,0.25,45,75,0.00002
4,0.25,45,0,0.02196
4,0.25,30,75,0
4,0.25,30,0,0.02589
4,0.25,15,75,0
4,0.25,15,0,0.02937
4,0.25,0,75,0.00004
4,0.25,0,0,0.03437
4,0.25,-15,75,0.00008
4,0.25,-15,0,0.02824
4,0.25,-30,75,0.00007
4,0.25,-30,0,0.02591
4,0.25,-45,75,0.00005
4,0.25,-45,0,0.02226
4,0.25,-60,75,0.00017
4,0.25,-60,0,0.01962
4,0.25,-75,75,0.00062
4,0.25,-75,0,0.01966
4,0.25,-90,75,0
4,0.25,-90,0,0.01896
4,0.5,90,75,0.00519
4,0.5,90,0,0.11601
4,0.5,75,75,0.01108
4,0.5,75,0,0.12478
4,0.5,60,75,0.00789
4,0.5,60,0,0.13026
4,0.5,45,75,0.01683
4,0.5,45,0,0.13387
4,0.5,30,75,0.01008
4,0.5,30,0,0.13621
4,0.5,15,75,0.00668
4,0.5,15,0,0.15244
4,0.5,0,75,0.00737
4,0.5,0,0,0.18887
4,0.5,-15,75,0.00531
4,0.5,-15,0,0.1488
4,0.5,-30,75,0.00869
4,0.5,-30,0,0.13931
4,0.5,-45,75,0.00932
4,0.5,-45,0,0.13362
4,0.5,-60,75,0.01077
4,0.5,-60,0,0.12953
4,0.5,-75,75,0.0085
4,0.5,-75,0,0.12494
4,0.5,-90,75,0.00519
4,0.5,-90,0,0.11601
4,1,90,75,0.13955
4,1,90,0,0.35602
4,1,75,75,0.1612
4,1,75,0,0.35853
4,1,60,75,0.14273
4,1,60,0,0.36435
4,1,45,75,0.10926
4,1,45,0,0.3769
4,1,30,75,0.06948
4,1,30,0,0.40332
4,1,15,75,0.07343
4,1,15,0,0.4644
4,1,0,75,0.06342
4,1,0,0,0.51507
4,1,-15,75,0.05885
4,1,-15,0,0.47372
4,1,-30,75,0.07286
4,1,-30,0,0.40345
4,1,-45,75,0.07352
4,1,-45,0,0.37795
4,1,-60,75,0.06668
4,1,-60,0,0.36357
4,1,-75,75,0.09782
4,1,-75,0,0.36056
4,1,-90,75,0.13955
4,1,-90,0,0.35602
4,1.25,90,75,0.19908
4,1.25,90,0,0.45403
4,1.25,75,75,0.20575
4,1.25,75,0,0.4795
4,1.25,60,75,0.20407
4,1.25,60,0,0.47774
4,1.25,45,75,0.16823
4,1.25,45,0,0.49878
4,1.25,30,75,0.1109
4,1.25,30,0,0.53585
4,1.25,15,75,0.09714
4,1.25,15,0,0.63356
4,1.25,0,75,0.10015
4,1.25,0,0,0.64251
4,1.25,-15,75,0.096
4,1.25,-15,0,0.62148
4,1.25,-30,75,0.08671
4,1.25,-30,0,0.54142
4,1.25,-45,75,0.08615
4,1.25,-45,0,0.49486
4,1.25,-60,75,0.10805
4,1.25,-60,0,0.47858
4,1.25,-75,75,0.16815
4,1.25,-75,0,0.47583
4,1.25,-90,75,0.19908
4,1.25,-90,0,0.45403
4,1.5,90,75,0.21983
4,1.5,90,0,0.58251
4,1.5,75,75,0.22244
4,1.5,75,0,0.58575
4,1.5,60,75,0.2412
4,1.5,60,0,0.59357
4,1.5,45,75,0.21805
4,1.5,45,0,0.61382
4,1.5,30,75,0.16336
4,1.5,30,0,0.67868
4,1.5,15,75,0.11212
4,1.5,15,0,0.76062
4,1.5,0,75,0.10933
4,1.5,0,0,0.76324
4,1.5,-15,75,0.09526
4,1.5,-15,0,0.75219
4,1.5,-30,75,0.0771
4,1.5,-30,0,0.66837
4,1.5,-45,75,0.10108
4,1.5,-45,0,0.61238
4,1.5,-60,75,0.16081
4,1.5,-60,0,0.59555
4,1.5,-75,75,0.22072
4,1.5,-75,0,0.58573
4,1.5,-90,75,0.21983
4,1.5,-90,0,0.58251
4,1.81,90,75,0.25409
4,1.81,90,0,0.75207
4,1.81,75,75,0.28974
4,1.81,75,0,0.73958
4,1.81,60,75,0.29694
4,1.81,60,0,0.73669
4,1.81,45,75,0.26479
4,1.81,45,0,0.7856
4,1.81,30,75,0.18586
4,1.81,30,0,0.82649
4,1.81,15,75,0.15767
4,1.81,15,0,0.89461
4,1.81,0,75,0.11384
4,1.81,0,0,0.89054
4,1.81,-15,75,0.08929
4,1.81,-15,0,0.8966
4,1.81,-30,75,0.08489
4,1.81,-30,0,0.82928
4,1.81,-45,75,0.12557
4,1.81,-45,0,0.78583
4,1.81,-60,75,0.22289
4,1.81,-60,0,0.74143
4,1.81,-75,75,0.25746
4,1.81,-75,0,0.73692
4,1.81,-90,75,0.25409
4,1.81,-90,0,0.75207
4,2.15,90,75,0.3028
4,2.15,90,0,0.9759
4,2.15,75,75,0.38838
4,2.15,75,0,0.97645
4,2.15,60,75,0.36083
4,2.15,60,0,0.92991
4,2.15,45,75,0.31934
4,2.15,45,0,0.97753
4,2.15,30,75,0.2389
4,2.15,30,0,1.04027
4,2.15,15,75,0.19064
4,2.15,15,0,1.103
4,2.15,0,75,0.13629
4,2.15,0,0,1.05821
4,2.15,-15,75,0.11549
4,2.15,-15,0,1.09289
4,2.15,-30,75,0.10521
4,2.15,-30,0,1.0472
4,2.15,-45,75,0.13836
4,2.15,-45,0,0.97249
4,2.15,-60,75,0.23569
4,2.15,-60,0,0.93886
4,2.15,-75,75,0.33149
4,2.15,-75,0,0.97138
4,2.15,-90,75,0.3028
