LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,1.5,75,60,0.41225
1,1.5,75,45,0.50937
1,1.5,75,30,0.60184
1,1.5,75,15,0.64743
1,1.5,60,60,0.4034
1,1.5,60,45,0.50365
1,1.5,60,30,0.59931
1,1.5,60,15,0.66178
1,1.5,45,60,0.40529
1,1.5,45,45,0.51224
1,1.5,45,30,0.61215
1,1.5,45,15,0.63936
1,1.5,30,60,0.42092
1,1.5,30,45,0.51171
1,1.5,30,30,0.60529
1,1.5,30,15,0.64535
1,1.5,15,60,0.40734
1,1.5,15,45,0.52643
1,1.5,15,30,0.60459
1,1.5,15,15,0.65074
1,1.5,0,60,0.40422
1,1.5,0,45,0.52268
1,1.5,0,30,0.6211
1,1.5,0,15,0.64141
1,1.5,-15,60,0.39735
1,1.5,-15,45,0.52031
1,1.5,-15,30,0.6199
1,1.5,-15,15,0.65939
1,1.5,-30,60,0.3966
1,1.5,-30,45,0.53174
1,1.5,-30,30,0.60716
1,1.5,-30,15,0.67019
1,1.5,-45,60,0.38942
1,1.5,-45,45,0.50568
1,1.5,-45,30,0.60824
1,1.5,-45,15,0.6463
1,1.5,-60,60,0.38315
1,1.5,-60,45,0.50221
1,1.5,-60,30,0.60601
1,1.5,-60,15,0.64806
1,1.5,-75,60,0.39988
1,1.5,-75,45,0.50487
1,1.5,-75,30,0.60079
1,1.5,-75,15,0.65017
1,1.5,-90,60,0.40439
1,1.5,-90,45,0.50248
1,1.5,-90,30,0.60418
1,1.5,-90,15,0.6485
1,1.81,90,60,0.4866
1,1.81,90,45,0.62548
1,1.81,90,30,0.72338
1,1.81,90,15,0.80716
1,1.81,75,60,0.48708
1,1.81,75,45,0.62013
1,1.81,75,30,0.73098
1,1.81,75,15,0.80978
1,1.81,60,60,0.4872
1,1.81,60,45,0.63205
1,1.81,60,30,0.72284
1,1.81,60,15,0.8126
1,1.81,45,60,0.4975
1,1.81,45,45,0.6405
1,1.81,45,30,0.73346
1,1.81,45,15,0.79565
1,1.81,30,60,0.4973
1,1.81,30,45,0.6207
1,1.81,30,30,0.7193
1,1.81,30,15,0.80338
1,1.81,15,60,0.48813
1,1.81,15,45,0.64889
1,1.81,15,30,0.72069
1,1.81,15,15,0.79496
1,1.81,0,60,0.49161
1,1.81,0,45,0.64242
1,1.81,0,30,0.73174
1,1.81,0,15,0.79529
1,1.81,-15,60,0.48952
1,1.81,-15,45,0.64451
1,1.81,-15,30,0.75849
1,1.81,-15,15,0.8059
1,1.81,-30,60,0.47932
1,1.81,-30,45,0.63816
1,1.81,-30,30,0.75082
1,1.81,-30,15,0.82209
1,1.81,-45,60,0.46716
1,1.81,-45,45,0.62345
1,1.81,-45,30,0.72731
1,1.81,-45,15,0.81011
1,1.81,-60,60,0.47825
1,1.81,-60,45,0.61211
1,1.81,-60,30,0.72082
1,1.81,-60,15,0.79095
1,1.81,-75,60,0.48857
1,1.81,-75,45,0.6235
1,1.81,-75,30,0.71653
1,1.81,-75,15,0.80994
1,1.81,-90,60,0.4866
1,1.81,-90,45,0.62548
1,1.81,-90,30,0.72338
1,1.81,-90,15,0.80716
1,2.15,90,60,0.56859
1,2.15,90,45,0.75091
1,2.15,90,30,0.92972
1,2.15,90,15,0.98524
1,2.15,75,60,0.58173
1,2.15,75,45,0.74954
