LD,Velocity (km/s),a (degrees),$ (degrees),DI
1,0.5,75,60,0.07588
1,0.5,75,15,0.14343
1,0.5,60,60,0.07401
1,0.5,60,15,0.14494
1,0.5,30,60,0.06525
1,0.5,30,15,0.14855
1,0.5,15,60,0.06717
1,0.5,15,15,0.15035
1,0.5,-15,60,0.06996
1,0.5,-15,15,0.14793
1,0.5,-30,60,0.07431
1,0.5,-30,15,0.14813
1,0.5,-60,60,0.05167
1,0.5,-60,15,0.15048
1,0.5,-75,60,0.06031
1,0.5,-75,15,0.14875
1,1,75,60,0.23932
1,1,75,15,0.40141
1,1,60,60,0.2494
1,1,60,15,0.39794
1,1,30,60,0.2418
1,1,30,15,0.42616
1,1,15,60,0.23978
1,1,15,15,0.42213
1,1,-15,60,0.23934
1,1,-15,15,0.41099
1,1,-30,60,0.24264
1,1,-30,15,0.40689
1,1,-60,60,0.23967
1,1,-60,15,0.4107
1,1,-75,60,0.23513
1,1,-75,15,0.40749
1,1.5,75,60,0.41225
1,1.5,75,15,0.64743
1,1.5,60,60,0.4034
1,1.5,60,15,0.66178
1,1.5,30,60,0.42092
1,1.5,30,15,0.64535
1,1.5,15,60,0.40734
1,1.5,15,15,0.65074
1,1.5,-15,60,0.39735
1,1.5,-15,15,0.65939
1,1.5,-30,60,0.3966
1,1.5,-30,15,0.67019
1,1.5,-60,60,0.38315
1,1.5,-60,15,0.64806
1,1.5,-75,60,0.39988
1,1.5,-75,15,0.65017
1,1.81,75,60,0.48708
1,1.81,75,15,0.80978
1,1.81,60,60,0.4872
1,1.81,60,15,0.8126
1,1.81,30,60,0.4973
1,1.81,30,15,0.80338
1,1.81,15,60,0.48813
1,1.81,15,15,0.79496
1,1.81,-15,60,0.48952
1,1.81,-15,15,0.8059
1,1.81,-30,60,0.47932
1,1.81,-30,15,0.82209
1,1.81,-60,60,0.47825
1,1.81,-60,15,0.79095
1,1.81,-75,60,0.48857
1,1.81,-75,15,0.80994
2,0.5,75,60,0.0784
2,0.5,75,15,0.13617
2,0.5,60,60,0.08909
2,0.5,60,15,0.14001
2,0.5,30,60,0.06227
2,0.5,30,15,0.15365
2,0.5,15,60,0.05006
2,0.5,15,15,0.15668
2,0.5,-15,60,0.06292
2,0.5,-15,15,0.15124
2,0.5,-30,60,0.05937
2,0.5,-30,15,0.14494
2,0.5,-60,60,0.05419
2,0.5,-60,15,0.13972
2,0.5,-75,60,0.05972
2,0.5,-75,15,0.13609
2,1,75,60,0.24026
2,1,75,15,0.38144
2,1,60,60,0.26232
2,1,60,15,0.38768
2,1,30,60,0.23974
2,1,30,15,0.45234
2,1,15,60,0.2409
2,1,15,15,0.46186
2,1,-15,60,0.22775
2,1,-15,15,0.4227
2,1,-30,60,0.23299
2,1,-30,15,0.40299
2,1,-60,60,0.2333
2,1,-60,15,0.38573
2,1,-75,60,0.23333
2,1,-75,15,0.37477
2,1.5,75,60,0.41948
2,1.5,75,15,0.61957
2,1.5,60,60,0.4212
2,1.5,60,15,0.6239
2,1.5,30,60,0.42728
2,1.5,30,15,0.70332
2,1.5,15,60,0.40216
2,1.5,15,15,0.69013
2,1.5,-15,15,0.67356
2,1.5,-30,60,0.35528
2,1.5,-30,15,0.64014
2,1.5,-60,60,0.3676
2,1.5,-60,15,0.61703
2,1.5,-75,60,0.37829
2,1.5,-75,15,0.62421
2,1.81,75,60,0.48321
2,1.81,75,15,0.76471
2,1.81,60,60,0.49331
2,1.81,60,15,0.77891
2,1.81,30,60,0.50577
2,1.81,30,15,0.83159
2,1.81,15,60,0.49771
2,1.81,15,15,0.82643
2,1.81,-15,60,0.45623
2,1.81,-15,15,0.82264
2,1.81,-30,60,0.46084
2,1.81,-30,15,0.79545
2,1.81,-60,60,0.44708
2,1.81,-60,15,0.75513
2,1.81,-75,60,0.46637
2,1.81,-75,15,0.76147
4,0.5,75,60,0.0558
4,0.5,75,15,0.12614
4,0.5,60,60,0.07246
4,0.5,60,15,0.13417
4,0.5,30,60,0.04223
4,0.5,30,15,0.14652
4,0.5,15,60,0.03226
4,0.5,15,15,0.17218
4,0.5,-15,60,0.04291
4,0.5,-15,15,0.13456
4,0.5,-30,60,0.0452
4,0.5,-30,15,0.13627
4,0.5,-60,60,0.0402
4,0.5,-60,15,0.12954
4,0.5,-75,60,0.04634
4,0.5,-75,15,0.12081
4,1,75,60,0.2303
4,1,75,15,0.35031
4,1,60,60,0.29574
4,1,60,15,0.37239
4,1,30,60,0.23709
4,1,30,15,0.46032
4,1,15,60,0.21743
4,1,15,15,0.49943
4,1,-15,60,0.18744
4,1,-15,15,0.40649
4,1,-30,60,0.20336
4,1,-30,15,0.38059
4,1,-60,60,0.21738
4,1,-60,15,0.34555
4,1,-75,60,0.2223
4,1,-75,15,0.34954
4,1.5,75,60,0.40157
4,1.5,75,15,0.5824
